"spa-30-00001740-n", "entidad", "1", "aquello que se percibe o se sabe o se infiere que tiene su existencia propia distinta (viva o no viva)", "n", "spa", "Femenino", "------",
"spa-30-00004258-n", "organismo", "2", "una entidad viva", "n", "spa", "Masculino", "------",
"spa-30-00004475-n", "organismo", "1", "un ser vivo que tiene (o puede desarrollar) la capacidad de actuar o funcionar de manera independiente", "n", "spa", "Masculino", "------",
"spa-30-00007846-n", "alguno", "1", "un ser humano", "n", "spa", "NULL", "------",
"spa-30-00007846-n", "alma", "1", "un ser humano", "n", "spa", "Femenino", "------",
"spa-30-00007846-n", "individuo", "1", "un ser humano", "n", "spa", "NULL", "------",
"spa-30-00015388-n", "animal", "1", "un organismo vivo dotado de movimiento voluntario", "n", "spa", "NULL", "------",
"spa-30-00017222-n", "planta", "1", "(Botánica) un organismo vivo que carece del poder de la locomoción", "n", "spa", "Femenino", "------",
"spa-30-00021265-n", "comida", "7", "cualquier sustancia que puede ser metabolizado por un animal para dar energía y construir tejido", "n", "spa", "Femenino", "------",
"spa-30-00023773-n", "motivo", "1", "La característica psicológica que incita a un organismo a actuar hacia un objetivo deseado; el motivo de la acción; lo que da sentido y dirección a la conducta.", "n", "spa", "NULL", "------",
"spa-30-00026192-n", "sensación", "2", "experimentación de estados emocionales y afectivos", "n", "spa", "Femenino", "------",
